parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[34,10]",1.13049923629903,1.07639322768409,1.16811428864668,34,10,5,10,+ 8 %,10
"fut.lambda[22,7]",1.13052050556109,1.07571214633781,1.17026408059367,22,7,15,10,+ 6 %,10
"fut.lambda[9,7]",1.13066403407506,1.07597463233267,1.16778003201202,9,7,10,30,+ 6 %,10
"fut.lambda[43,9]",1.13068332359311,1.0744093891749,1.1686605117135,43,9,8,10,+ 6 %,5
"fut.lambda[32,14]",1.13070560285968,1.07350961309376,1.16795726653784,32,14,4,20,+ 10 %,15
"fut.lambda[46,9]",1.13071695302649,1.07554966700606,1.17020359569165,46,9,9,10,+ 6 %,5
"fut.lambda[45,11]",1.13073686209026,1.07834626938362,1.16736118751906,45,11,8,30,+ 8 %,15
"fut.lambda[37,10]",1.1308391470362,1.07758128802208,1.16960168593292,37,10,6,10,+ 8 %,10
"fut.lambda[33,10]",1.13084727678961,1.07571113507469,1.16774130746292,33,10,4,30,+ 8 %,10
"fut.lambda[39,9]",1.13092405964843,1.07889046067647,1.16826085409833,39,9,6,30,+ 6 %,5
"fut.lambda[33,14]",1.13093496129756,1.0776264231907,1.16793326862222,33,14,4,30,+ 10 %,15
"fut.lambda[37,14]",1.13099009418502,1.07721982247841,1.16913479495651,37,14,6,10,+ 10 %,15
"fut.lambda[5,12]",1.13104444587786,1.07780732147943,1.16942108627583,5,12,1,20,+ 8 %,5
"fut.lambda[7,9]",1.13106182594241,1.07749751039914,1.17015267554832,7,9,10,10,+ 6 %,5
"fut.lambda[13,11]",1.13107126384325,1.07521727810466,1.168437925762,13,11,12,10,+ 8 %,15
"fut.lambda[41,9]",1.13109689644963,1.07877690122916,1.16882922987904,41,9,7,20,+ 6 %,5
"fut.lambda[4,12]",1.13114983842927,1.07704407707799,1.16867175136418,4,12,1,10,+ 8 %,5
"fut.lambda[5,13]",1.13117329069591,1.07772323742288,1.16991458646948,5,13,1,20,+ 10 %,10
"fut.lambda[44,9]",1.13119824245706,1.07791933459777,1.17012942047004,44,9,8,20,+ 6 %,5
"fut.lambda[47,11]",1.13120764218659,1.07790762414107,1.16807090595445,47,11,9,20,+ 8 %,15
"fut.lambda[12,7]",1.13123243292181,1.07821382534667,1.16918669165241,12,7,11,30,+ 6 %,10
"fut.lambda[6,12]",1.13124091680108,1.07872891017911,1.16905870745663,6,12,1,30,+ 8 %,5
"fut.lambda[35,14]",1.13135226063583,1.0781407913721,1.16886171753433,35,14,5,20,+ 10 %,15
"fut.lambda[4,13]",1.13147669182312,1.0774935253176,1.16886712260628,4,13,1,10,+ 10 %,10
"fut.lambda[42,9]",1.1315320795143,1.07893971125509,1.16914868044834,42,9,7,30,+ 6 %,5
"fut.lambda[35,10]",1.13153911684396,1.07670408867896,1.16925304939008,35,10,5,20,+ 8 %,10
"fut.lambda[14,7]",1.13171610814236,1.07711447905736,1.16991607759808,14,7,12,20,+ 6 %,10
"fut.lambda[40,14]",1.13174890675501,1.07657408433716,1.169549761437,40,14,7,10,+ 10 %,15
"fut.lambda[6,13]",1.13175941647828,1.07869035215564,1.16913116083551,6,13,1,30,+ 10 %,10
"fut.lambda[19,11]",1.13178250453052,1.07599654042657,1.16988594581846,19,11,14,10,+ 8 %,15
"fut.lambda[17,7]",1.13181301315255,1.07816919076565,1.1699528866518,17,7,13,20,+ 6 %,10
"fut.lambda[48,11]",1.13185219633411,1.07777004191211,1.16807832509621,48,11,9,30,+ 8 %,15
"fut.lambda[15,7]",1.13186477846735,1.07787433388333,1.16909392733841,15,7,12,30,+ 6 %,10
"fut.lambda[25,12]",1.13193008352115,1.07773657165104,1.16977128382797,25,12,2,10,+ 8 %,5
"fut.lambda[25,13]",1.13193813613731,1.07712295353655,1.17027106924089,25,13,2,10,+ 10 %,10
"fut.lambda[45,9]",1.13194092599179,1.07806618003215,1.16906941615549,45,9,8,30,+ 6 %,5
"fut.lambda[36,10]",1.13204261323774,1.07979102193463,1.16969545767309,36,10,5,30,+ 8 %,10
"fut.lambda[16,11]",1.13208172782715,1.07669982751788,1.16948064778076,16,11,13,10,+ 8 %,15
"fut.lambda[43,10]",1.13208864075694,1.07718277568699,1.17106375536356,43,10,8,10,+ 8 %,10
"fut.lambda[27,13]",1.13214126764908,1.08184629970889,1.17012047672318,27,13,2,30,+ 10 %,10
"fut.lambda[38,10]",1.13217534307951,1.07927899296518,1.16974242744193,38,10,6,20,+ 8 %,10
"fut.lambda[28,13]",1.13219726301709,1.07837539404608,1.17033327105892,28,13,3,10,+ 10 %,10
"fut.lambda[36,14]",1.13228927251317,1.07786793975221,1.16837592560885,36,14,5,30,+ 10 %,15
"fut.lambda[10,9]",1.13229869447886,1.07804777701819,1.1703176791862,10,9,11,10,+ 6 %,5
"fut.lambda[26,13]",1.13231660224498,1.07821961094624,1.16980280029328,26,13,2,20,+ 10 %,10
"fut.lambda[46,10]",1.13232142450247,1.0787821694661,1.17216265600432,46,10,9,10,+ 8 %,10
"fut.lambda[22,11]",1.13233663770545,1.07685892294655,1.17102914933469,22,11,15,10,+ 8 %,15
"fut.lambda[27,12]",1.13236030334261,1.07897032275349,1.17032703403285,27,12,2,30,+ 8 %,5
"fut.lambda[26,12]",1.13241106409957,1.07975980236802,1.17019076769272,26,12,2,20,+ 8 %,5
"fut.lambda[8,11]",1.13243642810563,1.07689947210394,1.16962123262207,8,11,10,20,+ 8 %,15
"fut.lambda[43,14]",1.13246685231835,1.07880305791215,1.17028447848352,43,14,8,10,+ 10 %,15
"fut.lambda[40,10]",1.13254688604607,1.07863308254352,1.16996813377354,40,10,7,10,+ 8 %,10
"fut.lambda[39,10]",1.1325582423528,1.07953004605365,1.1703254738826,39,10,6,30,+ 8 %,10
"fut.lambda[9,11]",1.13266196798743,1.07799449464437,1.17055115617909,9,11,10,30,+ 8 %,15
"fut.lambda[31,13]",1.13278450737909,1.07849545601007,1.17197075392172,31,13,4,10,+ 10 %,10
"fut.lambda[47,9]",1.13281774981041,1.07872714535583,1.17103753387417,47,9,9,20,+ 6 %,5
"fut.lambda[13,9]",1.1328308422287,1.07623985594637,1.17106032246051,13,9,12,10,+ 6 %,5
