parm,median,lcl,ucl,capt.index,surv.index,n.rel,n.years,surv.inc,lag.time
"fut.lambda[27,17]",0.990519027865729,0.970760444961087,1.00898928886945,27,17,2,30,none,15
"fut.lambda[29,17]",0.990637012750866,0.971943782863351,1.01014737797908,29,17,3,20,none,15
"fut.lambda[40,16]",0.990792499190373,0.968895015869154,1.00989682921734,40,16,7,10,none,10
"fut.lambda[29,18]",0.990815270270503,0.971161075762722,1.00953456066993,29,18,3,20,none,5
"fut.lambda[43,18]",0.991521398548009,0.970643491053352,1.01211456482265,43,18,8,10,none,5
"fut.lambda[43,16]",0.991711819313931,0.970362767795325,1.01136554119985,43,16,8,10,none,10
"fut.lambda[43,17]",0.992306951219375,0.970826890986194,1.01089252889675,43,17,8,10,none,15
"fut.lambda[46,16]",0.992831375161554,0.971242103000034,1.01089364943767,46,16,9,10,none,10
"fut.lambda[46,18]",0.992888318114614,0.971236900878311,1.01133047807887,46,18,9,10,none,5
"fut.lambda[32,18]",0.992942718760235,0.973909662703494,1.01182907843765,32,18,4,20,none,5
"fut.lambda[46,17]",0.993087287739765,0.971171052374769,1.01249844403318,46,17,9,10,none,15
"fut.lambda[32,16]",0.993117136459072,0.973841042867546,1.01236824327993,32,16,4,20,none,10
"fut.lambda[32,17]",0.993149446376187,0.974341487550525,1.01208395463246,32,17,4,20,none,15
"fut.lambda[7,17]",0.994255859160944,0.974287430958359,1.01289032337073,7,17,10,10,none,15
"fut.lambda[7,18]",0.994351356710302,0.972458137337363,1.01263575799347,7,18,10,10,none,5
"fut.lambda[30,16]",0.994512516957114,0.973166355986692,1.01250233996422,30,16,3,30,none,10
"fut.lambda[30,18]",0.994514778081698,0.975077986497934,1.01146359984457,30,18,3,30,none,5
"fut.lambda[7,16]",0.994702569077032,0.971818221981544,1.01360071076743,7,16,10,10,none,10
"fut.lambda[30,17]",0.994764103503963,0.975634664171865,1.0112103582666,30,17,3,30,none,15
"fut.lambda[10,17]",0.9948951438151,0.974486190766081,1.01516427918762,10,17,11,10,none,15
"fut.lambda[10,18]",0.995247073095213,0.973554163012533,1.01317977799477,10,18,11,10,none,5
"fut.lambda[10,16]",0.995311370469207,0.974366106480651,1.01478791370905,10,16,11,10,none,10
"fut.lambda[3,2]",0.995903447884345,0.972496508886319,1.01461270939726,3,2,0,30,+ 2 %,15
"fut.lambda[35,18]",0.995978817449931,0.975691465397432,1.01501201617139,35,18,5,20,none,5
"fut.lambda[35,17]",0.995986905905318,0.976227386397186,1.01347069441775,35,17,5,20,none,15
"fut.lambda[2,2]",0.996023773498933,0.974965734595703,1.01456514422329,2,2,0,20,+ 2 %,15
"fut.lambda[35,16]",0.996253735978165,0.976011938599937,1.01505960540705,35,16,5,20,none,10
"fut.lambda[13,16]",0.996320783495901,0.975460628074292,1.01491261163555,13,16,12,10,none,10
"fut.lambda[1,2]",0.996374892150237,0.975024167007209,1.01429557876442,1,2,0,10,+ 2 %,15
"fut.lambda[13,17]",0.996397717753636,0.975635673478597,1.01580257289122,13,17,12,10,none,15
"fut.lambda[13,18]",0.996706821720401,0.976276762535045,1.01646438625151,13,18,12,10,none,5
"fut.lambda[4,2]",0.996765024018201,0.977298474191317,1.01646357451689,4,2,1,10,+ 2 %,15
"fut.lambda[2,1]",0.996882579376836,0.975139692052355,1.01643719960717,2,1,0,20,+ 2 %,10
"fut.lambda[16,18]",0.99713810532695,0.976759512987798,1.01639143212557,16,18,13,10,none,5
"fut.lambda[1,1]",0.997377071605746,0.975760728111086,1.01576521725961,1,1,0,10,+ 2 %,10
"fut.lambda[3,1]",0.997400864961117,0.976381754718222,1.01809911150155,3,1,0,30,+ 2 %,10
"fut.lambda[33,18]",0.997426268078796,0.979377681208842,1.01490450558716,33,18,4,30,none,5
"fut.lambda[16,17]",0.997439633667089,0.976954623660871,1.01574039444414,16,17,13,10,none,15
"fut.lambda[16,16]",0.998017811606745,0.976789099106646,1.01763259359304,16,16,13,10,none,10
"fut.lambda[19,17]",0.998051146558343,0.976863668693577,1.0174744185386,19,17,14,10,none,15
"fut.lambda[38,17]",0.998089162125436,0.9780324188487,1.01646220055579,38,17,6,20,none,15
"fut.lambda[33,16]",0.998091928579299,0.97775545762275,1.01631441106914,33,16,4,30,none,10
"fut.lambda[38,18]",0.998091928579299,0.979045955331773,1.01729413875926,38,18,6,20,none,5
"fut.lambda[19,18]",0.998118225800935,0.976352878508249,1.01813251542501,19,18,14,10,none,5
