n.chicks.released.per.year,n.years.of.captive.releases,surv.improvement,time.lag.for.surv.imp,fut.pop.growth.rate,lcl,ucl
15,10,6%,15,0.969431679,0.921709048,1.005865669
6,30,4%,10,0.969533123,0.934032781,0.998865982
9,20,4%,5,0.969551938,0.930276384,1.001708332
10,30,2%,15,0.969579225,0.936674318,0.995568277
2,30,6%,5,0.969680721,0.926419504,1.005051577
11,10,6%,10,0.969681267,0.921545776,1.006458099
3,20,6%,5,0.969907215,0.92562401,1.005507851
8,10,6%,5,0.970101856,0.922160284,1.00724936
10,30,2%,10,0.970153273,0.937262123,0.996156828
10,20,4%,10,0.970180042,0.930547847,1.001931577
1,30,8%,15,0.970192404,0.924694042,1.007574151
11,20,4%,15,0.970279391,0.930583678,1.001565685
10,30,2%,5,0.970488448,0.93754977,0.996794154
4,10,8%,15,0.970514939,0.921820513,1.008890172
12,10,6%,10,0.970664833,0.923397784,1.00740494
3,30,6%,10,0.970931331,0.930621265,1.004286305
15,30,none,15,0.971009964,0.940321753,0.995001682
15,30,none,5,0.97108546,0.939326894,0.995323147
6,30,4%,5,0.971112027,0.934396873,1.00080026
15,30,none,10,0.971184524,0.939394733,0.995124239
9,10,6%,5,0.9713583,0.924736877,1.008488409
7,30,4%,15,0.971377557,0.937139884,0.999651584
6,20,6%,15,0.971434613,0.930370541,1.004968039
10,20,4%,5,0.971516397,0.931085655,1.003379937
13,10,6%,10,0.971613727,0.925891102,1.008409663
4,30,6%,15,0.971955012,0.934087925,1.003579966
11,20,4%,10,0.972067471,0.933886487,1.003422978
11,30,2%,15,0.972086565,0.939848284,0.997821143
5,10,8%,15,0.972147181,0.922950948,1.009919826
1,10,8%,10,0.972185642,0.922135217,1.011211782
5,20,6%,10,0.972254363,0.930325825,1.006486922
12,20,4%,15,0.972314371,0.933947832,1.003175029
2,20,8%,15,0.972461333,0.926633243,1.008928739
10,10,6%,5,0.972495234,0.925949445,1.008994534
0,10,8%,10,0.972522026,0.921532254,1.012044953
0,20,8%,10,0.972543983,0.921605332,1.011756137
0,30,8%,10,0.972546777,0.921758893,1.011496071
4,20,6%,5,0.972583939,0.930005225,1.008065344
11,30,2%,10,0.972623212,0.940274042,0.99858134
14,10,6%,10,0.972777248,0.926358232,1.009208255
11,30,2%,5,0.972888756,0.940458401,0.998944111
7,30,4%,10,0.972924504,0.937623512,1.001631557
6,10,8%,15,0.973463051,0.926174103,1.011556698
11,10,6%,5,0.973632764,0.926369851,1.010553809
11,20,4%,5,0.973671975,0.934457027,1.004940488
12,20,4%,10,0.973833733,0.935765252,1.004927519
15,10,6%,10,0.973837713,0.92730323,1.010129942
2,10,8%,10,0.973902004,0.92584229,1.012066564
13,20,4%,15,0.973966538,0.935539674,1.004462803
3,30,6%,5,0.974128742,0.934382616,1.007572333
7,20,6%,15,0.974179449,0.934112012,1.007192513
7,30,4%,5,0.974360831,0.93924154,1.003022039
12,30,2%,15,0.974401499,0.941908959,1.000021227
1,20,8%,10,0.974515605,0.926407568,1.012419742
8,30,4%,15,0.97458651,0.940432565,1.001922391
12,10,6%,5,0.974649304,0.927978101,1.01090395
6,20,6%,10,0.974835592,0.934210987,1.00819814
12,30,2%,10,0.974870966,0.943026204,1.000545717
4,30,6%,10,0.974877044,0.937335271,1.007055827
7,10,8%,15,0.974951792,0.926945314,1.012236392
3,10,8%,10,0.975235349,0.92660916,1.013708571
5,20,6%,5,0.975344959,0.933924167,1.009829512
2,30,8%,15,0.975498733,0.933997045,1.010484377
12,30,2%,5,0.975517947,0.943400557,1.001119911
12,20,4%,5,0.975528525,0.937335271,1.006854071
13,10,6%,5,0.975543339,0.930005225,1.012083625
13,20,4%,10,0.975866107,0.937709612,1.006511946
5,30,6%,15,0.975866107,0.939392671,1.006623316
14,20,4%,15,0.975878537,0.938100658,1.006108615
8,30,4%,10,0.975878537,0.941302716,1.003912648
3,20,8%,15,0.975917928,0.932204428,1.011650887
1,30,8%,10,0.975917928,0.931383624,1.013447126
8,10,8%,15,0.975994775,0.930065838,1.013372863
13,30,2%,15,0.976590555,0.944854745,1.001789331
8,20,6%,15,0.976632424,0.937464191,1.008980088
14,10,6%,5,0.97665219,0.930510071,1.013139363
4,10,8%,10,0.976852417,0.930101165,1.014763005
13,30,2%,10,0.976954016,0.945545544,1.002294219
13,20,4%,5,0.977011665,0.938933124,1.008237564
8,30,4%,5,0.9771128,0.943173205,1.005667647
7,20,6%,10,0.977183534,0.937478057,1.010574277
9,30,4%,15,0.977307084,0.943886361,1.004624222
9,10,8%,15,0.977339536,0.930571431,1.014251017
13,30,2%,5,0.977381789,0.945865592,1.002899463
15,10,6%,5,0.977396751,0.931519532,1.013770983
14,20,4%,10,0.977399382,0.940360204,1.008091333
15,20,4%,15,0.977413771,0.940494507,1.007486857
4,30,6%,5,0.977916093,0.939274109,1.010494913
6,20,6%,5,0.977936209,0.936681618,1.011626559
2,20,8%,10,0.978033,0.933057576,1.014829299
